Unnamed: 0,식품명,1인분칼로리(kcal),탄수화물(g),단백질(g),지질(g),콜레스트롤(g),식이섬유(g),나트륨(g),등록일
208,딸기잼,49.0,12.6,0.1,0.0,0.0,0.1,1.0,2012-01-04
209,땅콩,74.0,2.8,3.3,6.3,0.0,0.4,0.0,
210,땅콩버터,30.0,1.6,0.6,2.6,0.0,0.1,23.0,2012-01-04
211,떡국,399.0,79.3,11.2,3.4,70.3,0.1,1109.0,2012-01-04
212,떡만두국,470.0,73.3,15.6,12.3,50.7,0.4,1067.0,2012-01-04
213,떡볶이,170.0,34.1,4.7,1.9,5.6,0.4,457.0,2012-01-04
214,라면,521.0,81.6,13.2,19.8,75.9,0.7,1339.0,
215,롤빵,142.0,21.9,4.5,4.1,0.5,0.0,221.0,2012-01-04
216,롤케익,219.0,28.9,4.5,9.9,0.0,0.1,69.0,2012-01-06
217,마가린,36.0,0.0,0.0,4.1,0.1,0.0,22.0,2012-01-17
218,마늘,13.0,3.0,0.5,0.0,0.0,0.1,0.0,
219,마늘장아찌,5.5,1.2,0.4,0.0,0.0,0.1,8.0,2012-01-04
220,마늘쫑무침,14.0,2.4,0.5,0.6,0.0,0.3,75.0,
221,마늘쫑볶음,31.0,4.0,0.8,1.8,0.0,0.7,59.0,2012-01-04
222,마늘쫑장아찌,5.5,1.4,0.3,0.0,0.0,0.2,1.0,2012-01-04
223,마요네즈,74.0,0.9,0.1,7.5,21.2,0.0,46.0,
224,마파두부,59.0,3.4,4.0,3.7,2.5,0.3,360.0,2012-01-04
225,막걸리,184.0,7.2,6.4,0.0,0.0,0.0,24.0,
226,만두국,473.0,42.4,24.9,22.8,149.8,0.7,2190.0,2012-01-04
227,맛술(미림),7.0,1.8,0.0,0.0,0.0,0.0,2.0,2012-01-17
228,맥주,131.0,9.9,1.1,0.0,0.0,0.0,18.0,2012-01-04
229,머위,9.0,1.9,1.2,0.1,0.0,0.4,6.0,2012-01-04
230,머위나물,29.0,3.0,1.6,1.8,0.0,0.7,136.0,2012-01-04
231,멍게,21.0,2.0,1.8,0.5,16.7,0.0,0.0,2012-01-04
232,메기,86.0,0.1,11.3,4.0,48.0,0.0,35.0,2012-01-04
233,메기매운탕,103.0,4.6,11.9,4.5,37.6,0.7,726.0,2012-01-04
234,메밀국수(건면),447.0,86.7,18.2,3.0,0.0,0.0,1105.0,2012-01-04
235,메추라기알,70.0,0.9,5.0,4.8,188.0,0.0,62.0,2012-01-04
236,메추라기알장조림,88.0,4.4,5.9,4.9,207.3,0.0,613.0,2012-01-04
237,"멸치(자건품, 중)",12.0,0.2,1.9,0.3,5.7,0.0,43.0,
238,멸치볶음,47.0,2.1,4.2,2.3,9.5,0.0,146.0,
239,명란알,28.0,0.3,5.6,0.4,85.0,0.0,41.0,2012-01-16
240,명란젓,18.0,0.4,3.1,0.5,52.5,0.0,530.0,2012-01-16
241,명태(동태),37.0,0.1,8.0,0.3,29.0,0.0,105.0,
242,명태(북어),58.0,0.0,12.3,0.6,59.4,0.0,99.0,2012-01-06
243,모듬회,185.0,6.4,32.4,3.0,109.1,0.4,740.0,2012-01-04
244,모밀국수,472.0,92.4,20.6,3.2,2.6,0.7,1462.0,2012-01-04
245,모시조개젓,5.0,0.2,0.9,0.1,4.4,0.0,0.0,2012-01-16
246,목이버섯(말린것),5.0,1.4,0.2,0.0,0.0,0.2,1.0,2012-01-17
247,무,28.0,6.8,1.2,0.1,0.0,0.5,9.0,
248,무국,61.4,10.8,4.3,0.9,5.0,0.8,418.0,2012-01-17
249,무나물,53.0,6.5,1.3,3.0,0.0,0.5,226.0,2012-01-04
250,무된장국,56.0,10.3,3.6,0.7,1.8,0.8,674.0,2012-01-17
251,무말랭이,11.0,2.6,0.4,0.1,0.0,0.3,5.0,2012-01-04
252,무말랭이무침,23.3,4.3,0.8,0.7,0.0,0.5,93.0,
